hour,generation biomass,generation fossil brown coal/lignite,generation fossil gas,generation fossil hard coal,generation fossil oil,generation hydro pumped storage consumption,generation hydro run-of-river and poundage,generation hydro water reservoir,generation nuclear,generation other,generation other renewable,generation solar,generation waste,generation wind onshore,forecast solar day ahead,forecast wind onshore day ahead,total load forecast,total load actual,temp,temp_min,temp_max,pressure,humidity,wind_speed,wind_deg,rain_1h,rain_3h,snow_3h,clouds_all,weather_id,weather_icon_01,weather_icon_01d,weather_icon_01n,weather_icon_02,weather_icon_02d,weather_icon_02n,weather_icon_03,weather_icon_03d,weather_icon_03n,weather_icon_04,weather_icon_04d,weather_icon_04n,weather_icon_09d,weather_icon_09n,weather_icon_10,weather_icon_10d,weather_icon_10n,weather_icon_11d,weather_icon_11n,weather_icon_13d,weather_icon_13n,weather_icon_50d,weather_icon_50n,weather_description_broken clouds,weather_description_drizzle,weather_description_few clouds,weather_description_fog,weather_description_haze,weather_description_heavy intensity drizzle,weather_description_heavy intensity rain,weather_description_heavy intensity shower rain,weather_description_heavy snow,weather_description_light intensity drizzle,weather_description_light intensity drizzle rain,weather_description_light intensity shower rain,weather_description_light rain,weather_description_light rain and snow,weather_description_light snow,weather_description_light thunderstorm,weather_description_mist,weather_description_moderate rain,weather_description_overcast clouds,weather_description_proximity shower rain,weather_description_proximity thunderstorm,weather_description_rain and drizzle,weather_description_rain and snow,weather_description_scattered clouds,weather_description_shower rain,weather_description_sky is clear,weather_description_sleet,weather_description_snow,weather_description_thunderstorm,weather_description_thunderstorm with heavy rain,weather_description_thunderstorm with light rain,weather_description_thunderstorm with rain,weather_main_clear,weather_main_clouds,weather_main_drizzle,weather_main_fog,weather_main_haze,weather_main_mist,weather_main_rain,weather_main_snow,weather_main_thunderstorm,Oil Price
12,467.0,953.0,7391.0,8105.0,388.0,0.0,1265.0,5856.0,7104.0,85.0,73.0,2292.0,219.0,2492.0,2408.0,2581.0,37268.0,37287.0,286.895,286.895,286.895,1012,77,4,165,0.0,0.0,0.0,40,802,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,47.91
6,358.0,629.0,4929.0,4811.0,226.0,499.0,468.0,573.0,7105.0,57.0,92.0,65.0,318.0,3933.0,89.0,3906.0,23347.0,23524.0,293.15,293.15,293.15,1014,37,1,240,0.0,0.0,0.0,0,800,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,50.77
6,518.0,974.0,5138.0,7165.0,357.0,0.0,765.0,3135.0,4988.0,84.0,71.0,935.0,258.0,3757.0,1151.0,3897.0,30424.0,30284.0,284.78,273.15,289.15,1022,59,2,350,0.0,0.0,0.0,40,802,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,47.505
18,478.0,651.0,6919.0,6528.0,431.0,0.0,764.0,4317.0,7093.0,87.0,81.0,41.0,172.0,3811.0,81.0,3787.0,34689.0,33135.0,282.13,282.13,282.13,1028,71,1,258,0.0,0.0,0.0,0,800,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,35.79
6,341.0,319.0,6810.0,5837.0,326.0,0.0,1164.0,3964.0,7096.0,58.0,95.0,25.0,311.0,8122.0,49.0,7322.0,33298.0,33225.0,275.14,274.15,276.15,1004,27,2,350,0.0,0.0,0.0,0,800,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,67.59
12,343.0,392.0,4346.0,2500.0,240.0,1016.0,345.0,445.0,5678.0,52.0,91.0,4136.0,283.0,6075.0,4360.0,6087.0,24471.0,24658.0,292.52,290.15,295.15,1024,26,3,29,0.0,0.0,0.0,0,800,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,60.4
18,391.0,983.0,8007.0,6607.0,261.0,3.0,516.0,999.0,5046.0,56.0,88.0,44.0,271.0,5029.0,63.0,4960.0,30003.0,29867.0,281.89,280.15,283.15,1029,45,2,24,0.0,0.0,0.0,0,800,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,63.415
18,325.0,716.0,7074.0,3572.0,289.0,1.0,1390.0,3231.0,5053.0,61.0,103.0,50.0,245.0,7597.0,46.0,7099.0,34584.0,34041.0,280.94,278.15,282.15,1033,87,1,300,0.0,0.0,0.0,90,741,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,51.93
18,423.0,0.0,2960.0,1172.0,294.0,1798.0,1112.0,3147.0,6076.0,88.0,77.0,36.0,212.0,14535.0,42.0,14474.0,30799.0,30819.0,304.428,304.428,304.428,1020,26,2,140,0.0,0.0,0.0,0,800,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,45.05
12,258.0,0.0,3565.0,1877.0,281.0,1288.0,1906.0,3733.0,5054.0,13.0,87.0,4997.0,327.0,8716.0,4868.0,8488.0,31054.0,30709.0,290.13,288.15,291.15,1021,55,4,80,0.0,0.0,0.0,75,803,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,74.62
